,,"Ghana Demographic and Health Survey, 2003","A survey that collected information relevant demographic and health information (maternal and infant mortality, fertility, family planning) about Ghanaians (men and women in the reproductive period) ",Ghana,,Region,,Ghana Statistical Service,"Macro International, Noguchi Memorial Institute for Medical Research ",http://www.statsghana.gov.gh ,,,,,,,2003,Health,Education,,Download,Final Report,Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=644&ctry_id=14&SrchTp=ctry ,,,,Ghana Statistical Service,23321682623,,
,,"Ghana Maternal Health Survey, 2007",A study that investigated predominant causes of maternal deaths in Ghana. The project was in two phases; one was a household survey that collected basic information on health and demographic indicators. Phase two followed-up on households that had registered maternal deaths and Verbal Autopsy,Ghana,,Region,,Ghana Statistical Service,Ghana Health Service,http://www.statsghana.gov.gh ,,,,,,,2007,Health,,,Download,"Ghana Maternal Health Survey, 2007",Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=902&ctry_id=14&SrchTp=ctry,,,,Ghana Statistical Service,23321682623,,
,,"Ghana Demographic and Health Survey, 2008","A survey that collected information relevant demographic and health information (maternal and infant mortality, fertility, family planning) about Ghanaians (men and women in the reproductive period) ",Ghana,,Region,,Ghana Statistical Service,"IFC Macro, Ghana Health Service",http://www.statsghana.gov.gh ,,,,,,,2008,Health,Education,,Download,Final Report,Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=955&ctry_id=14&SrchTp=ctry ,,,,Ghana Statistical Service,23321682623,,
,,"Budget of Ghana, 2000","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2000,Economic Policy and External Debt,Education,Agriculture & Rural Development,Download,Budget,Report,http://www.mofep.gov.gh/budget2000.cfm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
,,"Budget of Ghana, 2001","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2001,Economic Policy and External Debt,Education,Environment,Download,Budget,Report,http://www.mofep.gov.gh/budget2001.cfm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
1,,Senegal Telecommunication Market Reports 2005-2008,"These reports are sources of information for authorities, stakeholders and the general public. It includes:
 global economic, sub-regional and national environment 2005 2008.
 It describes the current legal and regulatory framework, the legal and regulatory framework. It provides an update on the proposed harmonization within UEMOA-ECOWAS;
The documents also present the general situation of the telecommunications sector and
analysis of different segments of the retail market; discusses the changes noted with the approval of interconnection catalogue. the last two sections 
present scarce resources,frequencies numbering and the issue of universal service.",Senegal,Africa,National,,Senegal Regulatory Agency for Posts and Telecommunication,,http://www.artp-senegal.org,,,,,,,,Infrastructure,,,Link to resource (URL),Telecommunication Market Reports 2005-2008,Report,http://www.artp-senegal.org/telecharger/document_Rapport_sur_le_marche_des_telecommunications_au_Senegal_65.pdf,,,,Senegal Regulatory Agency for Posts and Telecommunication,221338690369,,
,,"Budget of Ghana, 2002","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2002,Economic Policy and External Debt,Poverty,Energy & Mining,Download,Budget,Report,http://www.mofep.gov.gh/budget2002.cfm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
1,,"Commonwealth Business Council Survey, 2007",This is published bi-annually by the Commonwealth Business Council with data from 33 countries since 1999,Global,Ghana,,1st Administrative Level,Commonwealth Business Council,,http://www.cbglobal.org,,,,,,,,Private Sector,Financial sector,Economic Policy and External Debt,,"Commonwealth Business Council Survey, 2007",Report,http://www.cbcglobal.org/.../CBC%20Business%20Environment%20Survey%202007.pdf,,,,Commonwealth Business Council,,info@cbcglobal.org,
,,"Budget of Ghana, 2003","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2003,Economic Policy and External Debt,Education,,Download,"Budget of Ghana, 2003",Report,http://www.mofep.gov.gh/budget2003.cfm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
1,,"Survey On Family Structure and Poverty, 2008",No description provided.,Senegal,,*UNKNOWN,,No organization listed,,,,,,,,,,,,,,"Survey On Family Structure and Poverty, 2008",Report,http://www.dial.prd.fr/dial_publications/PDF/stateco/stateco102/1devreyer.pdf ,,,,,,,
1,,"Repertoire of Education Statistics 2008, 2009, 2010 ","these reports developped a yearly basis that provides information on the number of schools, students, teachers and the infrastructure within the country.",Senegal,,Village,,Senegal Ministry of Education,,http://www.education.gouv.sn,,,,,,,,Education,,,Link to resource (URL),"Repertoire of Education Statistics 2008, 2009, 2010 ",Report,http://www.education.gouv.sn/actualite/2010/Fichiers/ANNUAIRE_2010_Final.pdf,,,,Senegal Ministry of Education,,,
1,,"National Report On Education 2008, 2009",these reports present the national education situation for the 2008 and 2009 periods.,Senegal,,Village,,Senegal Ministry of Education,,http://www.education.gouv.sn,,,,,,,,Education,,,Link to resource (URL),"National Report On Education 2008, 2009",Report,"http://www.education.gouv.sn/statistiques/Fichiers/annuaire/annuaire2007-2008/rapport-national-situation-education-2008.pdf 
http://www.education.gouv.sn/actualite/Fichiers/2009",,,,Senegal Ministry of Education,,,
1,,"National Strategy On Gender Equality and Equity, 2004 and 2015","This document is the result of work conducted by a 
multisectoral team, coordinated by Ms. Astou Diop Diagne, Economist Planner, Expert on Gender and Development. This team also benefited from the support of resource persons whose contributions have contributed to the enrichment of this document.
",Senegal,,Village,,Senegal Ministry of Women's Affairs,,http://www.famille.gouv.sn,,,,,,,,Gender,,,Link to resource (URL),"National Strategy On Gender Equality and Equity, 2004 and 2015",Other,http://www.famille.gouv.sn/documents/df.rapport.national.senegal.cedef.2008.pdf,,,,Senegal Ministry of Women's Affairs,,,
,,"Budget of Ghana, 2004","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2004,Economic Policy and External Debt,Education,Environment,Download,Budget,Report,http://www.mofep.gov.gh/budget2004.cfm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
,,"Budget of Ghana, 2005","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2005,Economic Policy and External Debt,Education,Energy & Mining,Download,Budget,Report,http://www.mofep.gov.gh/budget2005.cfm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
,,"Budget of Ghana, 2006","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2006,Economic Policy and External Debt,Education,Agriculture & Rural Development,Download,Budget,Report,http://www.mofep.gov.gh/budget2006.cfm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
,,"Budget of Ghana, 2007","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2007,Economic Policy and External Debt,Education,Infrastructure,Download,Budget,Report,http://www.mofep.gov.gh/budget2007.cfm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
,,"Budget of Ghana, 2008","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2008,Economic Policy and External Debt,Education,Labor & Social Protection,Download,Budget,Report,http://www.mofep.gov.gh/budget2008.cfm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
,,"Budget of Ghana, 2009","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2009,Economic Policy and External Debt,Education,Financial sector,Download,Budget,Report,http://www.mofep.gov.gh/budget2009.cfm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
,,"Budget of Ghana, 2010","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2010,Economic Policy and External Debt,Education,Education,Download,Budget,Report,http://www.mofep.gov.gh/budget2010fm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
,,"Budget of Ghana, 2011","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,District,,Ghana Ministry of Finance and Economic Planning ,,http://www.mofep.gov.gh,,,,,,,2011,Economic Policy and External Debt,Education,Economic Policy and External Debt,Download,Budget,Report,http://www.mofep.gov.gh/budget2011.cfm,,,,Ghana Ministry of Finance and Economic Planning ,,promofep@mofep.gov.gh,
,,2004 National Adolescent Survey,"A study that assessed broad issues that affect adolescent sexuality. Some specific areas of focus were sexual debut, parent-child communication, pregnancy, abortion and others. Parents, community leaders, teachers and health workers also participated in the study.",Ghana,,District,,Guttmacher Institute,University of Cape Coast,http://www.guttmacher.org,Kofi Awusabo-Asare ,University of Cape Coast,Akwasi Kumi-Kyereme,University of Cape Coast,,,2004,Health,,,Download,"Influence of Social Connectedness, Communication and Monitoring On Adolescent Sexual Activity In Ghana",Journal Article,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2367144/,,,,Kofi Awusabo-Asare,,awusabo_asare@yahoo.co.uk,
,,Annual Progress Report of The Gprs Indicators,Seventh report in a series assessing progress made in implementing policies outlined in Poverty Reduction Strategies,Ghana,,District,,Ghana National Development Planning Commission,,http://www.ndpc.gov.gh.html,,,,,,,2008,Poverty,Economic Policy and External Debt,Health,Download,2008 Annual Progress Report,Report,http://www.ndpc.gov.gh/GPRS/AnnualProgressReport-2008.pdf,,,,Ghana National Development Planning Commission,,info@ndpc.gov.gh,
,,Citizens' Assessment of The National Health Insurance Scheme In Ghana,Survey to obtain feedback from citizens' perspective on whether the NHIS provides effective health care financing for the poor ,Ghana,,Region,,Ghana National Development Planning Commission,UNDP,http://www.ndpc.gov.gh.html,,,,,,,2008,Health,Public Sector,Poverty,Download,Citizens' Assessment of The National Health Insurance Scheme In Ghana,Report,http://www.ndpc.gov.gh/GPRS/Citizens'%20Assessment%20of%20NHIS%202008.pdf,,,,Ghana National Development Planning Commission,,info@ndpc.gov.gh,
,,Ghana Poverty Reduction Strategy (Gprs I),"First medium term national development strategy, outlines policy framework for 2003-2005 ",Ghana,,Region,,Ghana National Development Planning Commission,,http://www.ndpc.gov.gh.html,,,,,,,2003,Poverty,Economic Policy and External Debt,Health,Download,Ghana Poverty Reduction Strategy (Gprs I),Report,http://www.ndpc.gov.gh/GPRS/GPRS%20I%202003-2005.pdf,,,,Ghana National Development Planning Commission,,info@ndpc.gov.gh,
,,Growth and Poverty Reduction Strategy (Gprs Ii),"2005 version of Ghana's Poverty Reduction Strategy Papers; reviews progress and outlines plan for 2006-2009; central goal to ""achieve middle income status within a measurable planning period""",Ghana,,District,,Ghana National Development Planning Commission,,http://www.ndpc.gov.gh.html,,,,,,,2005,Poverty,Economic Policy and External Debt,Health,Download,Growth and Poverty Reduction Strategy (Gprs Ii) 2006-2009,Report,http://www.ndpc.gov.gh/GPRS/GPRS%20II%202006.pdf,,,,Ghana National Development Planning Commission,,info@ndpc.gov.gh,
,,Ghana Civil Society Monitoring: Mdg Mornitoring Report,"This publication is the result of monitoring Ghana's performance towards realising the Millennium Development Goals 2,4,5,&6 (education and health). It also sought to understand the impact of government interventions in health and education at the community and district levels.",Ghana,,*UNKNOWN,,SEND Ghana,,http://www.sendwestafrica.org,,,,,,,2008,Education,Health,,Download,Ghana Civil Society Monitoring: Mdg Mornitoring Report,Report,http://www.sendwestafrica.org/west/index.php?option=com_phocadownload&view=category&id=29:mdg&Itemid=69,,,,SEND Ghana,,send@africaonline.com.gh,
,,"Free Trade, Small Scale Production and Poverty","A study that assess the impacts of trade liberalisation on livelihood security of women in Ghana in tomotoes, soya beans and fish prodution communities",Ghana,,Town,,SEND Ghana,,http://www.sendwestafrica.org,,,,,,,2008,Agriculture & Rural Development,Poverty,Labor & Social Protection,Download,"Free Trade, Small Scale Production and Poverty",Report,http://www.sendwestafrica.org/west/index.php?option=com_phocadownload&view=category&id=36:agriculture&Itemid=69,,,,SEND Ghana,,send@africaonline.com.gh,
,,"Ghana Living Standards Survey, 2005/06",The GLSS aims at providing general information on standards of living of Ghanaians on regular basis. Information is collected on patterns of household consumption and expenditure at a greater level of desegregation and it is intended to serve as the basis for the construction of the Consumer Price Index and for updating national accounts. ,Ghana,,Region,,Ghana Statistical Service,World Bank,http://www.statsghana.gov.gh ,,,,,,,2008,Poverty,Environment,,Download,"Ghana Living Standards Survey, Report of The Fifth Round (Glss 5)",Report,http://www.statsghana.gov.gh/docfiles/glss5_report.pdf,,,,Ghana Statistical Service,23321682623,,
1,,2000 Namibia Demographic & Health Survey Report,Report on the Demographic and Health Survey 2000 with detailed tables on the health levels in the country,Namibia,,Region,,Namibia Ministry of Health and Social Services,,http://www.healthnet.org.na/,,,,,,,,Health,,,Download,2000 Namibia Demographic & Health Survey Final Report,Report,http://www.healthnet.org.na/documents.html ,,,,Namibia Ministry of Health and Social Services,+264612039111,,
,,Rights and Equity In The Classroom: A Case Study of Classroom Interactions In Basic Schools In Ghana,Study to assess the extent to which gender equity and human rights education is taught and practiced in Ghanaian Basic Schools,Ghana,,Region,,Ghana Education Service,UNICEF Ghana,,Isaac Asiegbor,Ghana Education Service,Kathleen Finchham,"Curriculum Research and Development Division, Ghana Education Service",,,2001,Education,Gender,,Download,Rights and Equity In The Classroom: A Case Study of Classroom Interactions In Basic Schools In Ghana,Report,http://www.unicef.org/evaldatabase/files/GHA_01-006.pdf,,,,Ghana Education Service,233302662772,,
1,,Guideline For The Clinical Management of HIV AIDS ,The guidelines provide together with other documents the basis for comprehensive care of HIV/AIDS in Namibia. It facilitates the provision of community health care and equips the health workers with the necessary skills to care about patients.,Namibia,,County,,Namibia Ministry of Health and Social Services,,http://www.healthnet.org.na/,,,,,,,,Health,,,Download,Guideline For The Clinical Management,Report,http://www.healthnet.org.na/documents.html ,,,,Namibia Ministry of Health and Social Services,+264612039111,,
1,,Health In Namibia,"The book provides a detail description of Namibia'spublic health system, it's broad organisations, strucutre, fudning, staffing and physical features.",Namibia,,County,,Namibia Ministry of Health and Social Services,,http://www.healthnet.org.na/,,,,,,,,Health,,,Download,Hinnam,Report,http://www.healthnet.org.na/documents.html ,,,,Namibia Ministry of Health and Social Services,+264612039111,,
1,,National Tuberculosis Control ,TB is one of the major challenges the Namibian health sector is facing. Therefore the policy was developed in order to address strategies for effective YB control.,Namibia,,County,,Namibia Ministry of Health and Social Services,,http://www.healthnet.org.na/,,,,,,,,Health,,,Download,National Tuberculosis Control ,Report,http://www.healthnet.org.na/documents.html ,,,,Namibia Ministry of Health and Social Services,+264612039111,,
,,"High Impact Rapid Delivery Supplementary Survey, 2007/2008",A household survey designed to provide information particularly on the situation of women and children ,Ghana,,District,,UNICEF,Ghana Statistical Service,http://www.unicef.org,,,,,,,2007,Education,Health,Gender,Download,"High Impact Rapid Delivery Supplementary Survey, 2007/2008",Report,http://www.unicef.org/socialpolicy/files/Ghana_Social_Protectio_ODI_UNICEF.org,,,,UNICEF,233208181454,,
,,"Crime Victimisation Survey, 2009","This report presents the summary of the major findings of the crime victimization survey carried out in four metropolitan areas in Ghana in 2009. The areas are Sekondi-Takoradi Metropolitan Assembly (STMA), Accra Metropolitan Area (AMA), Kumasi Metropolitan Area (KMA) and Tamale Metropolitan Area (TMA)",Ghana,,Municipanity,,Ghana Statistical Service,UNDOC ,http://www.statsghana.gov.gh ,,,,,,,2009,Social Development,,,Download,Victimisation Survey In Ghana,Report,www.unodc.org/documents/data.../Executive_Summary_GHANA_final.pdf,,,,Ghana Statistical Service,23321682623,,
,,"Population Census, 1960",A head count of all people resident in Ghana at the time of the census,Ghana,,Village,,Ghana Statistical Service,,http://www.statsghana.gov.gh ,,,,,,,1960,Social Development,,,By request,"Population Census, 1960",Report,,,,,Ghana Statistical Service,23321682623,,
1,,"Senegal Poverty Reduction Strategy Paper Progress Report, 2005",Report on progress achieving multi-sectoral poverty reduction plan,Senegal,,Region,,Senegal Interministerial Steering and Decision-Making Council,International Monetary Fund,,,,,,,,,Economic Policy and External Debt,Poverty,Health,Link to resource (URL),Senegal Poverty Reduction Strategy Paper,Report,http://www.imf.org/external/pubs/ft/scr/2005/cr05114.pdf,,,,Senegal Interministerial Steering and Decision-Making Council,,,
,,"Population Census, 1970",A head count of all people resident in Ghana at the time of the census,Ghana,,Village,,Ghana Statistical Service,,http://www.statsghana.gov.gh ,,,,,,,1970,Social Development,,,By request,"Population Census, 1970",Report,,,,,Ghana Statistical Service,23321682623,,
1,,Demographic Surveillance Site - Kintampo,The site has been collectiing longitudinal data within the district since 2004,Ghana,,District,,Kintampo Health Research Centre,Ghana Health Service,http://www.kintampo-hrc.org ,,,,,,,,Health,MDG,,By request,Demographic Surveillance Site - Kintampo,Report,http://www.kintampo-hrc.org ,,,,Kintampo Health Research Centre,,enquiries@kintampo-hrc.org,
,,"Population and Housing Census, 1984",A head count of all people resident in Ghana at the time of the census as well as houses (occupied and unoccupied),Ghana,,Village,,Ghana Statistical Service,,http://www.statsghana.gov.gh ,,,,,,,1984,Social Development,,,By request,"Population and Housing Census, 1984",Report,,,,,Ghana Statistical Service,23321682623,,
,,"Population and Housing Census, 2000",A head count of all people resident in Ghana at the time of the census as well as houses (occupied and unoccupied),Ghana,,Village,,Ghana Statistical Service,UNFPA,http://www.statsghana.gov.gh ,,,,,,,2000,Social Development,,,By request,"Population and Housing Census, 2000",Report,,,,,Ghana Statistical Service,23321682623,,
,,Situation Analysis of Children and Women In Ghana 2000,"A study of pressing issues affecting women and children in Ghana. Core ares of focus were education, financial resources, domestic violence",Ghana,,Region,,UNICEF,,http://www.unicef.org,,,,,,,2000,Gender,Health,Poverty,By request,Situation Analysis of Children and Women In Ghana 2000,Report,,,,,UNICEF,233208181454,,
,,Estimating National HIV Prevalence In Ghana Using Sentinel Surveillance Data,Describes the approach to estimating national HIV prevelance in Ghana using sentinel surveillance systems,Ghana,,Town,,Ghana National AIDS Control Programme,"Disease Control Unit, Ministry of Health; Public Health Reference Laboratory ",http://www.ghanahealthservice.org,,,,,,,2001,Health,MDG,,By request,Estimating National HIV Prevalence In Ghana Using Sentinel Surveillance Data,Report,,,,,Ghana National AIDS Control Programme,,info@ghsmail.org,
,,A Study On The Constitutional and Legal Framework For The Right To Pre-Tertiary Education ,This sought to investigate how state institutions mandated to providing tertiary education were implementing and enforcing the law within the context of 1992 constitution,Ghana,,*UNKNOWN,,UNICEF,Ghana Ministry of Education,http://www.unicef.org,Kofi Quashiga,University of Ghana,,,,,2001,Education,,,By request,Legal and Constitutional Framework For Pre-Tertairy Education In Ghana,Report,,,,,UNICEF,233208181454,,
,,Basic Statistics and Planning Parameters For Basic Education In Ghana,Aggregated regional statistics for analysing trends and patterns of school enrolment. ,Ghana,,*UNKNOWN,,Ghana Ministry of Education,,http://www.ghana.gov.gh/index.php?option=com_content&view=article&id=331:ministry-of-education&catid=74:ministries&Itemid=224,,,,,,,2009,Education,,,By request,Basic Statistics and Planning Parameters For Basic Education In Ghana,Report,,,,,Ghana Ministry of Education,233302662772,,
,,Study On Stigma and Discrimination,"The report explored attitudes of Ghanaians towards people living with HIV/AIDS in Tema and Accra Metropolis. The survey had two components, one in the general population and the second targeted at most at risk populations, e.g. commercial sex workers, men who have sex with men (MSM)",Ghana,,Municipanity,,Ghana AIDS Commission,German Technical Cooperation,http://www.ghanaids.gov.gh/gac/index.php,Khonde Nzambi,,Martin Bevelot,,,,2009,Health,MDG,,By request,Study On Stigma and Discrimination,Report,,,,,Ghana AIDS Commission,,,
,,National HIV Prevalence and AIDS Estimate Report 2008-2015,A technical report that provides Ghana National HIV Prevalence Estimates and projections for 2008 to 2015 and the methodologies,Ghana,,*UNKNOWN,,Ghana National AIDS Control Programme,"DfID, Ghana AIDS Commission, Ghana Health Service, WHO",http://www.ghanahealthservice.org,,,,,,,2009,Health,MDG,,By request,National HIV Prevalence and AIDS Estimate Report 2008-2015,Report,,,,,Ghana National AIDS Control Programme,,info@ghsmail.org,
