,"High Impact Rapid Delivery Supplementary Survey, 2007/2008",A household survey designed to provide information particularly on the situation of women and children ,Ghana,,,District,UNICEF,Ghana Statistical Service,www.unicef.org,,,,,Multiple Indicator Cluster Survey (MICS) ,UNICEF,2007,Education,Health,Gender,Link to resource (URL),Multiple Cluster Indicator Survey,Report,www.unicef.org/socialpolicy/files/Ghana_Social_Protectio_ODI_UNICEF.org,,,,Administrator,,admin@datauncovered.com
1,"Population census, 1960",A head count of all people resident in Ghana at the time of the census,Ghana,,,Village,Ghana Statistical Service,,www.statsghana.gov.gh ,,,,,Population Census,,1960,Public Sector,,,No link,,Report,,,,,Administrator,,admin@datauncovered.com
1,"Population census, 1970",A head count of all people resident in Ghana at the time of the census,Ghana,,,Village,Ghana Statistical Service,,www.statsghana.gov.gh ,,,,,Population Census,,1970,Public Sector,,,No link,,Report,,,,,Administrator,,admin@datauncovered.com
1,"Population and housing census, 1984",A head count of all people resident in Ghana at the time of the census as well as houses (occupied and unoccupied),Ghana,,,Village,Ghana Statistical Service,,www.statsghana.gov.gh ,,,,,Population and Housing Census,,1984,Public Sector,,,No link,,Report,,,,,Administrator,,admin@datauncovered.com
1,"Population and housing census, 2000",A head count of all people resident in Ghana at the time of the census as well as houses (occupied and unoccupied),Ghana,,,Village,Ghana Statistical Service,UNFPA,www.statsghana.gov.gh ,,,,,Population and Housing Census,GoG/UNFPA,2000,Public Sector,,,No link,,Report,,,,,Administrator,,admin@datauncovered.com
1,"Population and housing census, 2010",A head count of all people resident in Ghana at the time of the census as well as houses (occupied and unoccupied),Ghana,,,Village,Ghana Statistical Service,UNFPA,www.statsghana.gov.gh ,,,,,Population and Housing Census,GoG/UNFPA,2010,Public Sector,,,No link,,Report,,,,,Administrator,,admin@datauncovered.com
,"Ghana Demographic and Health Survey, 1988","A survey that collected information relevant demographic and health information (maternal and infant mortality, fertility, family planning) about Ghanaians (men and women in the reproductive period) ",Ghana,,,Region,Ghana Statistical Service,Institute for Resource Development (IRD)Macro Systems Inc.,www.measuredhs.com,,,,,Ghana Demographic and Health Survey,"GoG, USAID & UNFPA",1988,Health,Education,Poverty,Link to resource (URL),Ghana 1988 DHS,Report,http://www.measuredhs.com/countries/metadata.cfm?surv_id=58&ctry_id=14&SrvyTp=ctry&cn=Ghana,,,,Administrator,,admin@datauncovered.com
,"Ghana Demographic and Health Survey, 1993","A survey that collected information relevant demographic and health information (maternal and infant mortality, fertility, family planning) about Ghanaians (men and women in the reproductive period) ",Ghana,,,Region,Ghana Statistical Service,Macro International Inc.,www.measuredhs.com,,,,,Ghana Demographic and Health Survey,"GoG, USAID",1993,Health,Education,Poverty,Link to resource (URL),Ghana 1993 DHS ,Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=325&ctry_id=14&SrchTp=ctry,,,,Administrator,,admin@datauncovered.com
,"Ghana Demographic and Health Survey, 1998","A survey that collected information relevant demographic and health information (maternal and infant mortality, fertility, family planning) about Ghanaians (men and women in the reproductive period) ",Ghana,,,Region,Ghana Statistical Service,Macro International Inc.,www.measuredhs.com,,,,,Ghana Demographic and Health Survey,,1998,Health,Education,Education,Link to resource (URL), Ghana 1998 DHS ,Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=274&ctry_id=14&SrchTp=ctry ,,,,Administrator,,admin@datauncovered.com
,"Ghana Demographic and Health Survey, 2003","A survey that collected information relevant demographic and health information (maternal and infant mortality, fertility, family planning) about Ghanaians (men and women in the reproductive period) ",Ghana,,,Region,Ghana Statistical Service,"ORC Macro International, Noguchi Memorial Institute for Medical Research ",www.measuredhs.com,,,,,Ghana Demographic and Health Survey,,2003,Health,Education,Education,Link to resource (URL),Ghana 2003 DHS ,Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=644&ctry_id=14&SrchTp=ctry ,,,,Administrator,,admin@datauncovered.com
,"Ghana Demographic and Health Survey, 2008","A survey that collected information relevant demographic and health information (maternal and infant mortality, fertility, family planning) about Ghanaians (men and women in the reproductive period) ",Ghana,,,Region,Ghana Statistical Service,"IFC Macro, Ghana Health Service",www.measuredhs.com,,,,,Ghana Demographic and Health Survey,USAID,2008,Health,Education,Education,Link to resource (URL), Ghana 2008 DHS ,Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=955&ctry_id=14&SrchTp=ctry ,,,,Administrator,,admin@datauncovered.com
,"Service Assessment Survey, 2002","surveys conducted in health facilities and among providers and clients in developing countries to obtain information about the quality, infrastructure, utilization, and availability of maternal and child health, and family planning services",Ghana,,,Region,Ghana Statistical Service,"Health Research Unit, GHS",www.statsghana.gov.gh ,,,,,"Maternal and Child Health Service Providers Assessment Survey, 2002",,2002,Health,,,Link to resource (URL),"MCH SPA, 2000",Report,http://www.measuredhs.com/countries/metadata.cfm?surv_id=185&ctry_id=14&SrvyTp=ctry&cn=Ghana,,,,Administrator,,admin@datauncovered.com
1,"Ghana Living Standards Survey, 1988/89","The GLSS aims at providing general information on standards of living of Ghanaians on regular basis. Since the first edition, four subsequent ones have been undertaken. Data is collected at three levels; household, individual, and community  ",Ghana,,,Region,Ghana Statistical Service,,,,,,,,,,,,,No link,"Ghana Living Standards Survey, 1988/89",Report,,,,,Administrator,,admin@datauncovered.com
1,"Ghana Living Standards Survey, 1991/92",The GLSS aims at providing general information on standards of living of Ghanaians on regular basis. Information is collected on patterns of household consumption and expenditure at a greater level of desegregation and it is intended to serve as the basis for the construction of the Consumer Price Index and for updating national accounts. ,Ghana,,,Region,Ghana Statistical Service,World Bank,www.statsghana.gov.gh ,,,,,GLSS,World Bank,1991/92,Education,Poverty,,No link,"Ghana Living Standards Survey, 1991/92",Report,,,,,Administrator,,admin@datauncovered.com
,"Ghana Living Standards Survey, 1998/99",The GLSS aims at providing general information on standards of living of Ghanaians on regular basis. Information is collected on patterns of household consumption and expenditure at a greater level of desegregation and it is intended to serve as the basis for the construction of the Consumer Price Index and for updating national accounts. ,Ghana,,,Region,Ghana Statistical Service,World Bank,www.statsghana.gov.gh ,,,,,GLSS,World Bank,1998/99,Education,Poverty,Labor & Social Protection,Link to resource (URL),"Ghana Living Standards Survey, 1998/99",Report,http://www-wds.worldbank.org/servlet/WDSContentServer/WDSP/IB/2003/08/20/000090341_20030820153729/Rendered/PDF/265870PAPER0St1ed0survey0bulletin01.pdf,,,,Administrator,,admin@datauncovered.com
1,"Ghana Living Standards Survey, 2005/06",The GLSS aims at providing general information on standards of living of Ghanaians on regular basis. Information is collected on patterns of household consumption and expenditure at a greater level of desegregation and it is intended to serve as the basis for the construction of the Consumer Price Index and for updating national accounts. ,Ghana,,,Region,Ghana Statistical Service,World Bank,www.statsghana.gov.gh ,,,,,GLSS,World Bank,2005/2006,Poverty,Environment,,No link,"Ghana Living Standards Survey, 2005/06",Report,,,,,Administrator,,admin@datauncovered.com
,"Ghana Maternal Health Survey, 2007",A study that investigated predominant causes of maternal deaths in Ghana. The project was in two phases; one was a household survey that collected basic information on health and demographic indicators. Phase two followed-up on households that had registered maternal deaths and Verbal Autopsy,Ghana,,,Region,Ghana Statistical Service,Ghana Health Service,www.statsghana.gov.gh ,,,,,Ghana Maternal Health Survey,USAID,2007,Health,,,Link to resource (URL),"Ghana Maternal Health Survey, 2007",Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=902&ctry_id=14&SrchTp=ctry,,,,Administrator,,admin@datauncovered.com
1,Study on stigma and discrimination,"The report explored attitudes of Ghanaians towards people living with HIV/AIDS in Tema and Accra Metropolis. The survey had two components, one in the general population and the second targeted at most at risk populations, e.g. commercial sex workers, men who have sex with men (MSM)",Ghana,,,Municipanity,Ghana AIDS Commission (GAC),German Technical Cooperation,,Khonde Nzambi,,Martin Bevelot,,HIV/AIDS Stigma and Discrimination in Accra and Tema Metropolis,German Technical Coorperation,2009,Health,MDG,,No link,Study on stigma and discrimination,Report,,,,,Administrator,,admin@datauncovered.com
1,Children in Ghana,"A study to assess health, education and other core welfare indicators of Ghanaian children",Ghana,,,Region,Ministry of Women and Children's Affairs,UNICEF,www.mowac.gov.gh,,,,,Children in Ghana,Ministry of Women and Children's Affairs ,2009,Education,Health,MDG,No link,Children in Ghana,Report,,,,,Administrator,,admin@datauncovered.com
1,"Ghana HIV/AIDS sentinel surveillance survey, since 1990",A longitudinal surveillance of HIV incidence rates in Ghana,Ghana,,,Town,National AIDS Control Programme (NACP),"WHO, DfID, Ghana Health Service, Ghana AIDS Commission",www.ghanahealthservice.org,,,,,HIV Sentinel Survey Report,"WHO, DfID",1990-2009,Health,MDG,,No link,"Ghana HIV/AIDS sentinel surveillance survey, since 1990",Report,,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2000","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2000,Economic Policy and External Debt,Education,Agriculture & Rural Development,Link to resource (URL),"Budget of Ghana, 2000",Report,http://www.mofep.gov.gh/budget2000.cfm,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2001","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2001,Economic Policy and External Debt,Education,Environment,Link to resource (URL),"Budget of Ghana, 2001",Report,http://www.mofep.gov.gh/budget2001.cfm,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2002","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2002,Economic Policy and External Debt,Poverty,Energy & Mining,Link to resource (URL),"Budget of Ghana, 2002",Report,http://www.mofep.gov.gh/budget2002.cfm,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2003","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2003,Economic Policy and External Debt,Education,,Link to resource (URL),"Budget of Ghana, 2003",Report,http://www.mofep.gov.gh/budget2003.cfm,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2004","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2004,Economic Policy and External Debt,Education,Environment,Link to resource (URL),"Budget of Ghana, 2004",Report,http://www.mofep.gov.gh/budget2004.cfm,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2005","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2005,Economic Policy and External Debt,Education,Energy & Mining,Link to resource (URL),"Budget of Ghana, 2005",Report,http://www.mofep.gov.gh/budget2005.cfm,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2006","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2006,Economic Policy and External Debt,Education,Agriculture & Rural Development,Link to resource (URL),"Budget of Ghana, 2006",Report,http://www.mofep.gov.gh/budget2006.cfm,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2007","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2007,Economic Policy and External Debt,Education,Infrastructure,Link to resource (URL),"Budget of Ghana, 2007",Report,http://www.mofep.gov.gh/budget2007.cfm,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2008","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2008,Economic Policy and External Debt,Education,Labor & Social Protection,Link to resource (URL),"Budget of Ghana, 2008",Report,http://www.mofep.gov.gh/budget2008.cfm,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2009","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2009,Economic Policy and External Debt,Education,Financial sector,Link to resource (URL),"Budget of Ghana, 2009",Report,http://www.mofep.gov.gh/budget2009.cfm,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2010","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2010,Economic Policy and External Debt,Education,Education,Link to resource (URL),"Budget of Ghana, 2010",Report,http://www.mofep.gov.gh/budget2010fm,,,,Administrator,,admin@datauncovered.com
,"Budget of Ghana, 2011","Budget statement and economic policy attempts to provide estimates of government on all sectors of the economy, key areas include education, health, transportation, environment, energy and many others. Reflections on the previous year's economic performance are also provided",Ghana,,,District,Ministry of Finance and Economic Planning ,,www.mofep.gov.gh,,,,,,,2011,Economic Policy and External Debt,Education,Economic Policy and External Debt,Link to resource (URL),"Budget of Ghana, 2011",Report,http://www.mofep.gov.gh/budget2011.cfm,,,,Administrator,,admin@datauncovered.com
1,Annual Reports of the Ministry of Health/Ghana Health Service,A compilation of results of various activities undertaken by the service. It includes morbidity and mortality data recorded in facilities of the service across the country,Ghana,,,Region,Ghana Health Service,,www.ghanahealthservice.org,,,,,Annual Report,GoG,2000-2010,Health,,,No link,Annual Reports of the Ministry of Health/Ghana Health Service,Report,,,,,Administrator,,admin@datauncovered.com
,Accra Women's Health Study,"A cross-sectional of burden of communicable and non-communicable diseases among women in Accra, Ghana. One aspect of the study dealt with HIV prevalence and risk factors while another section explored blood pressure incidence among the participants",Ghana,,,City,Harvard University,University of Ghana,www.hsph.harvard.edu,Rosemary B. Duda,Harvard Medical School,John Kwasi Anarfi,University of Ghana,Accra Women's Study,,2006,Health,MDG,,Link to resource (URL),HIV prevalence and risk factors in women of Accra: Results from the women's health study of Accra,Journal Article,www.ajtmh.org/cgi/content/abstract/73/1/63 ,Results of the women's health study of Accra: assessment of blood pressure in urban women,Journal Article,http://www.internationaljournalofcardiology.com/article/S0167-5273%2806%2900512-2/pdf,Rosemary Duda,,rduda@caregroup.harvard.edu 
,Glowa-Volta Project,The project is intended to assess the physical and socio-economic determinants of water cycle in countries in Volta Basin,Africa,Ghana,,Region,GLOWA,"ZEF, University of Bonn",http://www.glowa-volta.de/index.php?id=1237 ,Benjamin Kofi Nyarko,University of Cape Coast,Makarius Victor Mdemu,,GLOWA-Volta Project Publications,ZEF,2007,Environment,Agriculture & Rural Development,Agriculture & Rural Development,Link to resource (URL),Glowa-Volta Project,Other,http://www.glowa-volta.de/publ_theses.html,"Water productivity in medium and small reservoirs in the
Upper East Region (UER) of Ghana",Other,http://www.glowa-volta.de/publ_theses.html,Kofi Awusabo-Asare,,awusabo_asare@yahoo.co.uk
1,Post-harvest losses management and women's empowerment,This study investigated experiences of women engaged in crop production in Ghana. Broad issues captured in the study were related to causes of post-harvest losses which were identified as rodents and birds,Ghana,,,District,General Agricultural Workers Union of Ghana (GAWU),Canadian Internationl Development Agency,www.psu-ghana.org,,,,,Post-harvest losses management and women's empowerment,CIDA,2010,Agriculture & Rural Development,Poverty,Gender,No link,Post-harvest losses management and women's empowerment,Report,,,,,Administrator,,admin@datauncovered.com
,"Free Trade, Small scale production and poverty","A study that assess the impacts of trade liberalisation on livelihood security of women in Ghana in tomotoes, soya beans and fish prodution communities",Ghana,,,Town,SEND Ghana,,www.sendwestafrica.org,,,,,Trade and Gender Research,SEND West Africa,2008,Agriculture & Rural Development,Poverty,Labor & Social Protection,Link to resource (URL),Trade and Gender_research_report-new.pdf,Report,http://www.sendwestafrica.org/west/index.php?option=com_phocadownload&view=category&id=36:agriculture&Itemid=69,,,,Administrator,,admin@datauncovered.com
,"Balancing access with quality health care: An assessment of the National Health Insurance Scheme (NHIS) in Ghana, 2004-2008","An independent assessment of Ghana's NHIS implementation. This study assessed the rate of subscription to the NHIS in 44 District Mutual Health Insurance Schemes
(DMHISs) across 4 administrative regions. The study also assessed the quality of healthcare provided to
members of the NHIS.",Ghana,,,District,SEND Ghana,,www.sendwestafrica.org,,,,,,,2010,Health,,,Link to resource (URL),"Balancing access with quality health care: An assessment of the National Health Insurance Scheme (NHIS) in Ghana, 2004-2008",Report,http://www.sendwestafrica.org/west/index.php?option=com_phocadownload&view=category&id=9:nhis&Itemid=69,nhis_report - balancing access with quality health care.pdf ,Report,,Administrator,,admin@datauncovered.com
,Business Barometer in Ghana,Business barometer survey is conduted by Association of Ghana Industries (AGI) to provide firms or prospective investors the current business in Ghana,Ghana,,,Region,Association of Ghana Industries,,http://www.agighana.org,,,,,AGI Business Barometer Survey,AGI,2009-present,Financial sector,Energy & Mining,Private Sector,Link to resource (URL),Business Barometer in Ghana,Report,http://www.agighana.org/Publications.aspx ,,,,Administrator,,admin@datauncovered.com
,"Commonwealth Business Council Survey, 2007",This is published bi-annually by the Commonwealth Business Council with data from 33 countries since 1999,Global,Ghana,,1st Administrative Level,Commonwealth Business Council,,www.cbglobal.org,,,,,Business Environment Survey 2007: Private Sector Views,Commonwealth Business Council,Since 1999,Private Sector,Financial sector,Economic Policy and External Debt,Link to resource (URL),"Commonwealth Business Council Survey, 2007",Report,www.cbcglobal.org/.../CBC%20Business%20Environment%20Survey%202007.pdf,,,,Administrator,,admin@datauncovered.com
,"Crime Victimisation Survey, 2009","This report presents the summary of the major findings of the crime victimization survey carried out in four metropolitan areas in Ghana in 2009. The areas are Sekondi-Takoradi Metropolitan Assembly (STMA), Accra Metropolitan Area (AMA), Kumasi Metropolitan Area (KMA) and Tamale Metropolitan Area (TMA)",Ghana,,,Municipanity,Ghana Statistics,United Nations Office on Drugs and Crime (UNDOC) ,www.unodc.org ,,,,,Victimisation Survey in Ghana,UNODC,2009,Social Development,,,Link to resource (URL),Victimisation Survey in Ghana,Report,www.unodc.org/documents/data.../Executive_Summary_GHANA_final.pdf,,,,Administrator,,admin@datauncovered.com
,2004 National Adolescent Survey,"A study that assessed broad issues that affect adolescent sexuality. Some specific areas of focus were sexual debut, parent-child communication, pregnancy, abortion and others. Parents, community leaders, teachers and health workers also participated in the study.",Ghana,,,District,Guttmacher Institute,University of Cape Coast,www.guttmacher.org,Kofi Awusabo-Asare ,University of Cape Coast,Akwasi Kumi-Kyereme,University of Cape Coast,Protecting the Next Generation,Guttmacher Institute,2004,Health,,,Link to resource (URL),2004 National Adolescent Survey,Journal Article,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2367144/,,,,Kofi Awusabo-Asare, ,awusabo_asare@yahoo.co.uk
1,Demographic Surveillance site - Navrongo,"The site has been collecting various kinds of longitudinal data (cohort, panel) on fertility, mortality and migration since 1993 ",Ghana,,,District,Navrongo Health Research Centre,Ghana Health Service,www.navrongo.org,,,,,Various health and demographic projects,"WHO, Rockefellar Foundation, IDRC, Gates Malaria Foundation, USAID, Nationa Institute of Health",1989-present,Health,MDG,,No link,Demographic Surveillance site - Navrongo,Report,www.navrongo.org,,,,Cornelius Debpuur, ,
1,Demographic Surveillance site - Kintampo,The site has been collectiing longitudinal data within the district since 2004,Ghana,,,District,Kintampo Health Research Centre,Ghana Health Service,www.kintampo-hrc.org ,,,,,Various health and demographic projects,"INDEPTH, Gates Malaria Foundation, DfID, ",1994-present,Health,MDG,,Link to resource (URL),Demographic Surveillance site - Kintampo,Report,www.kintampo-hrc.org ,,,,Administrator,,admin@datauncovered.com
1,Demographic Surveillance site - Dodowa,The site is engaged in a collaboration with the Netherlands Health for Development Programme which conducts various research on social dimensions of health ,Ghana,,,District,Dodowa Health Research Centre,Ghana Health Service/Netherlands Health for Development Programme,http://www.partnership-programmes.org/hrp/html/aboutus.htm ,,,,,Various health and demographic projects,Netherlands Health for Development Programme,2005-present,Health,MDG,,No link,Demographic Surveillance site - Dodowa,Report,www.partnership-programmes.org/hrp/html/dodowa.htm ,,,,Administrator,,admin@datauncovered.com
,"Senegal demographic and health survey, 1986","Key demographic and health indicators for Senegal (1986). Topics include: household and respondent characteristics, fertility and family planning, maternal and child health, nutrition, and HIV/AIDS.",Senegal,,,Region,Measure DHS/ICF Macro,Ministry of Economics and Finance,http://www.measuredhs.com,,,,,Demographic and Health Surveys,,1988,Health,Gender,Education,Link to resource (URL),"Senegal demographic and health survey, 1986",Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=319&srchTp=advanced,,,,Administrator,,admin@datauncovered.com
,"Senegal demographic and health survey, 1992","Key demographic and health indicators for Senegal (1992). Topics include: household and respondent characteristics, fertility and family planning, maternal and child health, nutrition, and HIV/AIDS.",Senegal,,,Region,Measure DHS/ICF Macro,,http://www.measuredhs.com,,,,,,,1994,Health,Gender,Education,Link to resource (URL),"Senegal demographic and health survey, 1992",Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=96&srchTp=advanced,,,,Administrator,,admin@datauncovered.com
,"Senegal demographic and health survey, 1997","Key demographic and health indicators for Senegal (1997). Topics include: household and respondent characteristics, fertility and family planning, maternal and child health, nutrition, and HIV/AIDS.",Senegal,,,Region,Measure DHS/ICF Macro,,http://www.measuredhs.com,,,,,,,1997,Health,Gender,Education,Link to resource (URL),"Senegal demographic and health survey, 1997",Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=131&srchTp=advanced,,,,Administrator,,admin@datauncovered.com
,"Senegal demographic and health survey, 1999","Key demographic and health indicators for Senegal (1999). Topics include: household and respondent characteristics, fertility and family planning, maternal and child health, nutrition, and HIV/AIDS.",Senegal,,,Region,Measure DHS/ICF Macro,,http://www.measuredhs.com,,,,,,,2000,Health,Gender,Education,Link to resource (URL),"Senegal demographic and health survey, 1999",Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=281&srchTp=advanced,,,,Administrator,,admin@datauncovered.com
,"Senegal demographic and health survey, 2005","Key demographic and health indicators for Senegal (2005). Topics include: household and respondent characteristics, fertility and family planning, maternal and child health, nutrition, and HIV/AIDS.",Senegal,,,Region,Measure DHS/ICF Macro,,http://www.measuredhs.com,,,,,,,2006,Health,Gender,Education,Link to resource (URL),"Senegal demographic and health survey, 2005",Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=583&srchTp=advanced,,,,Administrator,,admin@datauncovered.com
